Country,Flow,Commodity,Value
Albania,Import,Animals; live,42987056.54
Albania,Export,Animals; live,347984.592
Andorra,Import,Animals; live,110767.03
Andorra,Export,Animals; live,81499.426
Angola,Import,Animals; live,5582300.463
Angola,Export,Animals; live,127105.257
Azerbaijan,Import,Animals; live,77705630.34
Azerbaijan,Export,Animals; live,830178.88
Argentina,Import,Animals; live,26753146.95
Argentina,Export,Animals; live,26016385.06
Australia,Import,Animals; live,131620794.7
Australia,Export,Animals; live,1055109166
Austria,Import,Animals; live,283513949.6
Austria,Export,Animals; live,136107654.8
Bahrain,Import,Animals; live,19737078.8
Bahrain,Export,Animals; live,1921326.404
Armenia,Import,Animals; live,6126689.82
Armenia,Export,Animals; live,17517917.74
Barbados,Import,Animals; live,298494.5
Barbados,Export,Animals; live,1733244.5
Belgium,Import,Animals; live,548935709.1
Belgium,Export,Animals; live,704923566.6
Bermuda,Import,Animals; live,880906.52
Bolivia (Plurinational State of),Import,Animals; live,14982359
Bosnia Herzegovina,Import,Animals; live,40809877.71
Bosnia Herzegovina,Export,Animals; live,2417044.77
Botswana,Import,Animals; live,3286337.799
Botswana,Export,Animals; live,98032189.96
Brazil,Import,Animals; live,17754277
Brazil,Export,Animals; live,304430826
Belize,Import,Animals; live,1320361.66
Belize,Export,Animals; live,3931136.12
Brunei Darussalam,Import,Animals; live,16350530.74
Brunei Darussalam,Export,Animals; live,30109.85
Bulgaria,Import,Animals; live,29935962.78
Bulgaria,Export,Animals; live,62165231.53
Myanmar,Import,Animals; live,6322024.71
Myanmar,Export,Animals; live,13354502.8
Burundi,Import,Animals; live,1620365.712
Albania,Import,Meat and edible meat offal,65008463.81
Albania,Export,Meat and edible meat offal,655080.531
Andorra,Import,Meat and edible meat offal,39250811.81
Andorra,Export,Meat and edible meat offal,5269.038
Angola,Import,Meat and edible meat offal,589749530.3
Angola,Export,Meat and edible meat offal,118954.377
Azerbaijan,Import,Meat and edible meat offal,84263931.72
Azerbaijan,Export,Meat and edible meat offal,1627159.52
Argentina,Import,Meat and edible meat offal,154653277.9
Argentina,Export,Meat and edible meat offal,4069864703
Australia,Import,Meat and edible meat offal,648599728.5
Australia,Export,Meat and edible meat offal,11436086951
Austria,Import,Meat and edible meat offal,1223459010
Austria,Export,Meat and edible meat offal,1516308986
Bahrain,Import,Meat and edible meat offal,281805089.3
Bahrain,Export,Meat and edible meat offal,2945647.491
Armenia,Import,Meat and edible meat offal,104550981.1
Armenia,Export,Meat and edible meat offal,1785925.55
Barbados,Import,Meat and edible meat offal,44836979.5
Barbados,Export,Meat and edible meat offal,344148
Belgium,Import,Meat and edible meat offal,1872846710
Belgium,Export,Meat and edible meat offal,3636640889
Bermuda,Import,Meat and edible meat offal,28876163.02
Bermuda,Export,Meat and edible meat offal,71656.91
Bolivia (Plurinational State of),Import,Meat and edible meat offal,4533770
Bolivia (Plurinational State of),Export,Meat and edible meat offal,179098681.9
Bosnia Herzegovina,Import,Meat and edible meat offal,231131879.2
Bosnia Herzegovina,Export,Meat and edible meat offal,25083374.32
Botswana,Import,Meat and edible meat offal,10167712.25
Botswana,Export,Meat and edible meat offal,11317388.1
Brazil,Import,Meat and edible meat offal,460100323
Brazil,Export,Meat and edible meat offal,23974697033
Belize,Import,Meat and edible meat offal,2052513.27
Brunei Darussalam,Import,Meat and edible meat offal,30064428.43
Brunei Darussalam,Export,Meat and edible meat offal,418.353
Bulgaria,Import,Meat and edible meat offal,546822394.7
Bulgaria,Export,Meat and edible meat offal,257718084.1
Myanmar,Import,Meat and edible meat offal,1555787.92
Myanmar,Export,Meat and edible meat offal,1301313.95
Burundi,Import,Meat and edible meat offal,160354.382
Albania,Import,"Fish and crustaceans, molluscs and other aquatic invertebrates",121468792.6
Albania,Export,"Fish and crustaceans, molluscs and other aquatic invertebrates",70131002.94
Andorra,Import,"Fish and crustaceans, molluscs and other aquatic invertebrates",15724819.36
Andorra,Export,"Fish and crustaceans, molluscs and other aquatic invertebrates",593.376
Angola,Import,"Fish and crustaceans, molluscs and other aquatic invertebrates",23625360.33
Angola,Export,"Fish and crustaceans, molluscs and other aquatic invertebrates",54934599.9
Azerbaijan,Import,"Fish and crustaceans, molluscs and other aquatic invertebrates",34805717.3
Azerbaijan,Export,"Fish and crustaceans, molluscs and other aquatic invertebrates",1359227.52
Argentina,Import,"Fish and crustaceans, molluscs and other aquatic invertebrates",97098201.24
Argentina,Export,"Fish and crustaceans, molluscs and other aquatic invertebrates",1787939194
Australia,Import,"Fish and crustaceans, molluscs and other aquatic invertebrates",1025963731
Australia,Export,"Fish and crustaceans, molluscs and other aquatic invertebrates",818709272.8
Austria,Import,"Fish and crustaceans, molluscs and other aquatic invertebrates",417526860.1
Austria,Export,"Fish and crustaceans, molluscs and other aquatic invertebrates",95668881.49
Bahrain,Import,"Fish and crustaceans, molluscs and other aquatic invertebrates",51595391.31
Bahrain,Export,"Fish and crustaceans, molluscs and other aquatic invertebrates",46633222.7
Armenia,Import,"Fish and crustaceans, molluscs and other aquatic invertebrates",21339131.87
Armenia,Export,"Fish and crustaceans, molluscs and other aquatic invertebrates",119370023.2
Barbados,Import,"Fish and crustaceans, molluscs and other aquatic invertebrates",23595148.5
Barbados,Export,"Fish and crustaceans, molluscs and other aquatic invertebrates",1557449.5
Belgium,Import,"Fish and crustaceans, molluscs and other aquatic invertebrates",1442538150
Belgium,Export,"Fish and crustaceans, molluscs and other aquatic invertebrates",507954309
Bermuda,Import,"Fish and crustaceans, molluscs and other aquatic invertebrates",14496028.16
Bermuda,Export,"Fish and crustaceans, molluscs and other aquatic invertebrates",46650.98
Bolivia (Plurinational State of),Import,"Fish and crustaceans, molluscs and other aquatic invertebrates",6185019
Bosnia Herzegovina,Import,"Fish and crustaceans, molluscs and other aquatic invertebrates",29596339.33
Bosnia Herzegovina,Export,"Fish and crustaceans, molluscs and other aquatic invertebrates",15184040.18
Botswana,Import,"Fish and crustaceans, molluscs and other aquatic invertebrates",3605163.416
Botswana,Export,"Fish and crustaceans, molluscs and other aquatic invertebrates",4371836.398
Brazil,Import,"Fish and crustaceans, molluscs and other aquatic invertebrates",1410940778
Brazil,Export,"Fish and crustaceans, molluscs and other aquatic invertebrates",349591241
Belize,Import,"Fish and crustaceans, molluscs and other aquatic invertebrates",146158.605
Belize,Export,"Fish and crustaceans, molluscs and other aquatic invertebrates",27100953.95
Brunei Darussalam,Import,"Fish and crustaceans, molluscs and other aquatic invertebrates",52805976.32
Brunei Darussalam,Export,"Fish and crustaceans, molluscs and other aquatic invertebrates",32791873.69
Bulgaria,Import,"Fish and crustaceans, molluscs and other aquatic invertebrates",134669730.4
Bulgaria,Export,"Fish and crustaceans, molluscs and other aquatic invertebrates",53533504.06
Myanmar,Import,"Fish and crustaceans, molluscs and other aquatic invertebrates",16196136.81
Myanmar,Export,"Fish and crustaceans, molluscs and other aquatic invertebrates",731403694.2
Burundi,Import,"Fish and crustaceans, molluscs and other aquatic invertebrates",3245746.283
Burundi,Export,"Fish and crustaceans, molluscs and other aquatic invertebrates",5221.973
Albania,Import,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",56034363.38
Albania,Export,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",7537882.257
Andorra,Import,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",28184915.7
Andorra,Export,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",203555.555
Angola,Import,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",131376241.7
Angola,Export,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",313265.29
Azerbaijan,Import,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",188616534.3
Azerbaijan,Export,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",15286356.71
Argentina,Import,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",36713603.53
Argentina,Export,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1659609258
Australia,Import,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1280540063
Australia,Export,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",2358820043
Austria,Import,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1256973033
Austria,Export,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1882275679
Bahrain,Import,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",407350697.8
Bahrain,Export,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",481034599.6
Armenia,Import,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",114643192.1
Armenia,Export,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",32669734.43
Barbados,Import,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",42544989
Barbados,Export,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",322753.5
Belgium,Import,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",4784064152
Belgium,Export,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",4899321060
Bermuda,Import,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",18569709.4
Bermuda,Export,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",19280.64
Bolivia (Plurinational State of),Import,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",24477262
Bolivia (Plurinational State of),Export,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",42355818.79
Bosnia Herzegovina,Import,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",126123398.7
Bosnia Herzegovina,Export,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",64776326.11
Botswana,Import,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",53171032.68
Botswana,Export,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",120222.893
Brazil,Import,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",770688190
Brazil,Export,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",337555554
Belize,Import,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",22299338.75
Belize,Export,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",7921.915
Brunei Darussalam,Import,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",46926400.28
Brunei Darussalam,Export,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",823211.945
Bulgaria,Import,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",423954001.4
Bulgaria,Export,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",286155595.4
Myanmar,Import,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",55654298.61
Myanmar,Export,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",3184131.06
Burundi,Import,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",942851.603
Burundi,Export,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",12357.928
Albania,Import,Animal originated products; not elsewhere specified or included,2742259.315
Albania,Export,Animal originated products; not elsewhere specified or included,2000134.644
Andorra,Import,Animal originated products; not elsewhere specified or included,46162.617
Angola,Import,Animal originated products; not elsewhere specified or included,10438956.85
Angola,Export,Animal originated products; not elsewhere specified or included,24441.779
Azerbaijan,Import,Animal originated products; not elsewhere specified or included,1565213.23
Azerbaijan,Export,Animal originated products; not elsewhere specified or included,5446538.66
Argentina,Import,Animal originated products; not elsewhere specified or included,41355463.42
Argentina,Export,Animal originated products; not elsewhere specified or included,71052510
Australia,Import,Animal originated products; not elsewhere specified or included,84547697.54
Australia,Export,Animal originated products; not elsewhere specified or included,310798570.9
Austria,Import,Animal originated products; not elsewhere specified or included,141134730
Austria,Export,Animal originated products; not elsewhere specified or included,88757687.53
Bahrain,Import,Animal originated products; not elsewhere specified or included,136665.984
Bahrain,Export,Animal originated products; not elsewhere specified or included,143.617
Armenia,Import,Animal originated products; not elsewhere specified or included,11907243.74
Armenia,Export,Animal originated products; not elsewhere specified or included,239747.54
Barbados,Import,Animal originated products; not elsewhere specified or included,52227.5
Barbados,Export,Animal originated products; not elsewhere specified or included,1694
Belgium,Import,Animal originated products; not elsewhere specified or included,217913599.7
Belgium,Export,Animal originated products; not elsewhere specified or included,174407963.1
Bermuda,Import,Animal originated products; not elsewhere specified or included,109549.15
Bolivia (Plurinational State of),Import,Animal originated products; not elsewhere specified or included,2085276
Bolivia (Plurinational State of),Export,Animal originated products; not elsewhere specified or included,3193916.9
Bosnia Herzegovina,Import,Animal originated products; not elsewhere specified or included,2746646.28
Bosnia Herzegovina,Export,Animal originated products; not elsewhere specified or included,193056.18
Botswana,Import,Animal originated products; not elsewhere specified or included,985663.505
Botswana,Export,Animal originated products; not elsewhere specified or included,71478.162
Brazil,Import,Animal originated products; not elsewhere specified or included,231782866
Brazil,Export,Animal originated products; not elsewhere specified or included,698894070
Belize,Import,Animal originated products; not elsewhere specified or included,78732.325
Belize,Export,Animal originated products; not elsewhere specified or included,29458.94
Brunei Darussalam,Import,Animal originated products; not elsewhere specified or included,9344.023
Brunei Darussalam,Export,Animal originated products; not elsewhere specified or included,2134.948
Bulgaria,Import,Animal originated products; not elsewhere specified or included,30380967.6
Bulgaria,Export,Animal originated products; not elsewhere specified or included,19446451.02
Myanmar,Import,Animal originated products; not elsewhere specified or included,39520541.37
Myanmar,Export,Animal originated products; not elsewhere specified or included,1042330.23
Burundi,Import,Animal originated products; not elsewhere specified or included,14619.469
Burundi,Export,Animal originated products; not elsewhere specified or included,294.936
Albania,Import,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",10764054.38
Albania,Export,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",5785861.661
Andorra,Import,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1915333.022
Angola,Import,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1892009.264
Angola,Export,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",2045.29
Azerbaijan,Import,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",26655323.27
Azerbaijan,Export,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",844225.5
Argentina,Import,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",5688550.18
Argentina,Export,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",496788
Australia,Import,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",137728034.9
Australia,Export,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",15595066.41
Austria,Import,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",465713196.5
Austria,Export,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",49731669.49
Bahrain,Import,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",14053021.31
Bahrain,Export,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",73450.213
Armenia,Import,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",15570426.13
Armenia,Export,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",14591565.48
Barbados,Import,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1130379
Barbados,Export,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",150
Belgium,Import,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",423205777.6
Belgium,Export,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",552127211.6
Bermuda,Import,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1550544.59
Bolivia (Plurinational State of),Import,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1787482
Bosnia Herzegovina,Import,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",15142382.16
Bosnia Herzegovina,Export,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",3970391.74
Botswana,Import,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",3952418.438
Botswana,Export,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",212296.392
Brazil,Import,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",44027991
Brazil,Export,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",13002177
Belize,Import,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",195106.485
Brunei Darussalam,Import,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",2532861.082
Brunei Darussalam,Export,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",547.37
Bulgaria,Import,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",40786912.07
Bulgaria,Export,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",10060102
Myanmar,Import,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",607158.63
Myanmar,Export,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",121518.15
Burundi,Import,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",20735.442
Burundi,Export,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",35383.154
Albania,Import,Vegetables and certain roots and tubers; edible,28686630.75
Albania,Export,Vegetables and certain roots and tubers; edible,99309279.29
Andorra,Import,Vegetables and certain roots and tubers; edible,16711196.4
Andorra,Export,Vegetables and certain roots and tubers; edible,70.122
Angola,Import,Vegetables and certain roots and tubers; edible,42831909.8
Angola,Export,Vegetables and certain roots and tubers; edible,2165190.402
Azerbaijan,Import,Vegetables and certain roots and tubers; edible,86912856.1
Azerbaijan,Export,Vegetables and certain roots and tubers; edible,218856374.3
Argentina,Import,Vegetables and certain roots and tubers; edible,39601085.21
Argentina,Export,Vegetables and certain roots and tubers; edible,615689736.7
Australia,Import,Vegetables and certain roots and tubers; edible,345618342
Australia,Export,Vegetables and certain roots and tubers; edible,1735711976
Austria,Import,Vegetables and certain roots and tubers; edible,806878314.2
Austria,Export,Vegetables and certain roots and tubers; edible,296637648.2
Bahrain,Import,Vegetables and certain roots and tubers; edible,127123717.5
Bahrain,Export,Vegetables and certain roots and tubers; edible,3401603.66
Armenia,Import,Vegetables and certain roots and tubers; edible,41439472.2
Armenia,Export,Vegetables and certain roots and tubers; edible,71815450.97
Barbados,Import,Vegetables and certain roots and tubers; edible,20307270
Barbados,Export,Vegetables and certain roots and tubers; edible,3405.5
Belgium,Import,Vegetables and certain roots and tubers; edible,2227851670
Belgium,Export,Vegetables and certain roots and tubers; edible,2406049274
Bermuda,Import,Vegetables and certain roots and tubers; edible,16481103
Bermuda,Export,Vegetables and certain roots and tubers; edible,8003.97
Bolivia (Plurinational State of),Import,Vegetables and certain roots and tubers; edible,5650698
Bolivia (Plurinational State of),Export,Vegetables and certain roots and tubers; edible,23793270.3
Bosnia Herzegovina,Import,Vegetables and certain roots and tubers; edible,64847957.25
Bosnia Herzegovina,Export,Vegetables and certain roots and tubers; edible,24909487.94
Botswana,Import,Vegetables and certain roots and tubers; edible,16069809.45
Botswana,Export,Vegetables and certain roots and tubers; edible,12330513.19
Brazil,Import,Vegetables and certain roots and tubers; edible,443471699
Brazil,Export,Vegetables and certain roots and tubers; edible,153414132
Belize,Import,Vegetables and certain roots and tubers; edible,2287630.48
Belize,Export,Vegetables and certain roots and tubers; edible,7206187.36
Brunei Darussalam,Import,Vegetables and certain roots and tubers; edible,49323990.23
Brunei Darussalam,Export,Vegetables and certain roots and tubers; edible,37132.581
Bulgaria,Import,Vegetables and certain roots and tubers; edible,264813016.2
Bulgaria,Export,Vegetables and certain roots and tubers; edible,175529374.5
Myanmar,Import,Vegetables and certain roots and tubers; edible,606826.95
Myanmar,Export,Vegetables and certain roots and tubers; edible,1568521677
Burundi,Import,Vegetables and certain roots and tubers; edible,2056877.505
Burundi,Export,Vegetables and certain roots and tubers; edible,306903.143
Albania,Import,"Fruit and nuts, edible; peel of citrus fruit or melons",58328158.96
Albania,Export,"Fruit and nuts, edible; peel of citrus fruit or melons",40159409.9
Andorra,Import,"Fruit and nuts, edible; peel of citrus fruit or melons",9149451.376
Andorra,Export,"Fruit and nuts, edible; peel of citrus fruit or melons",381.212
Angola,Import,"Fruit and nuts, edible; peel of citrus fruit or melons",12014779.25
Angola,Export,"Fruit and nuts, edible; peel of citrus fruit or melons",7822247.281
Azerbaijan,Import,"Fruit and nuts, edible; peel of citrus fruit or melons",149074451.7
Azerbaijan,Export,"Fruit and nuts, edible; peel of citrus fruit or melons",448719851.2
Argentina,Import,"Fruit and nuts, edible; peel of citrus fruit or melons",493236066.7
Argentina,Export,"Fruit and nuts, edible; peel of citrus fruit or melons",642639040.8
Australia,Import,"Fruit and nuts, edible; peel of citrus fruit or melons",819194015
Australia,Export,"Fruit and nuts, edible; peel of citrus fruit or melons",1593915342
Austria,Import,"Fruit and nuts, edible; peel of citrus fruit or melons",1422576601
Austria,Export,"Fruit and nuts, edible; peel of citrus fruit or melons",379722687
Bahrain,Import,"Fruit and nuts, edible; peel of citrus fruit or melons",191454737.7
Bahrain,Export,"Fruit and nuts, edible; peel of citrus fruit or melons",2544234.886
Armenia,Import,"Fruit and nuts, edible; peel of citrus fruit or melons",100903832.7
Armenia,Export,"Fruit and nuts, edible; peel of citrus fruit or melons",62514085.02
Barbados,Import,"Fruit and nuts, edible; peel of citrus fruit or melons",23861768
Barbados,Export,"Fruit and nuts, edible; peel of citrus fruit or melons",98902.5
Belgium,Import,"Fruit and nuts, edible; peel of citrus fruit or melons",2140627264
Belgium,Export,"Fruit and nuts, edible; peel of citrus fruit or melons",1532385634
Bermuda,Import,"Fruit and nuts, edible; peel of citrus fruit or melons",17703592.79
Bermuda,Export,"Fruit and nuts, edible; peel of citrus fruit or melons",1663.48
Bolivia (Plurinational State of),Import,"Fruit and nuts, edible; peel of citrus fruit or melons",20826724
Bolivia (Plurinational State of),Export,"Fruit and nuts, edible; peel of citrus fruit or melons",244718902.8
Bosnia Herzegovina,Import,"Fruit and nuts, edible; peel of citrus fruit or melons",121030823.5
Bosnia Herzegovina,Export,"Fruit and nuts, edible; peel of citrus fruit or melons",59616185.98
Botswana,Import,"Fruit and nuts, edible; peel of citrus fruit or melons",34764112.32
Botswana,Export,"Fruit and nuts, edible; peel of citrus fruit or melons",36679.061
Brazil,Import,"Fruit and nuts, edible; peel of citrus fruit or melons",729708576
Brazil,Export,"Fruit and nuts, edible; peel of citrus fruit or melons",955479576
Belize,Import,"Fruit and nuts, edible; peel of citrus fruit or melons",565409.265
Belize,Export,"Fruit and nuts, edible; peel of citrus fruit or melons",41028832.96
Brunei Darussalam,Import,"Fruit and nuts, edible; peel of citrus fruit or melons",69137198.97
